code,name,city,prov,nation,lat,lon,risk
1252A,清河小学,嘉兴市,浙江省,中国,30.778,120.7436,2
1253A,嘉兴学院,嘉兴市,浙江省,中国,30.7478,120.726,1
1254A,监测站,嘉兴市,浙江省,中国,30.7541,120.7674,12
1255A,黄岩环保大楼,台州市,浙江省,中国,28.6459,121.273,1
1256A,台州环保大楼,台州市,浙江省,中国,28.6542,121.419,1
1257A,路桥田洋王,台州市,浙江省,中国,28.5773,121.377,1
1258A,定海檀枫,舟山市,浙江省,中国,30.0203,122.122,1
1259A,普陀东港,舟山市,浙江省,中国,29.9558,122.3094,1
1260A,临城新区,舟山市,浙江省,中国,29.9944,122.19,1
1261A,四中(停运161031),金华市,浙江省,中国,29.1131,119.649,1
1262A,十五中,金华市,浙江省,中国,29.077,119.647,1
1263A,监测站,金华市,浙江省,中国,29.1029,119.686,1
1264A,环保大楼,衢州市,浙江省,中国,28.9398,118.8692,1
1265A,实验学校,衢州市,浙江省,中国,28.9666,118.8709,1
1266A,衢州学院,衢州市,浙江省,中国,28.9808,118.8621,1
1267A,监测站大楼,丽水市,浙江省,中国,28.4514,119.914,1
1268A,莲都小学,丽水市,浙江省,中国,28.4586,119.93,1
1269A,余庄前,丽水市,浙江省,中国,28.4231,119.879,1
1270A,明珠广场,合肥市,安徽省,中国,31.7848,117.1959,1
1271A,三里街,合肥市,安徽省,中国,31.8764,117.3072,1
1272A,琥珀山庄,合肥市,安徽省,中国,31.8707,117.2588,1
1273A,董铺水库(对照点),合肥市,安徽省,中国,31.9052,117.1604,1
1274A,长江中路,合肥市,安徽省,中国,31.8571,117.25,1
1275A,庐阳区,合肥市,安徽省,中国,31.9436,117.266,1
1276A,瑶海区,合肥市,安徽省,中国,31.8586,117.336,1
1277A,包河区,合肥市,安徽省,中国,31.7964,117.3027,1
1278A,滨湖新区,合肥市,安徽省,中国,31.7385,117.2776,1
1279A,高新区,合肥市,安徽省,中国,31.8403,117.1318,2
1280A,鼓山(对照点),福州市,福建省,中国,26.0543,119.3903,1
1281A,快安,福州市,福建省,中国,26.0258,119.414,1
1282A,师大,福州市,福建省,中国,26.0504,119.2681,4
1283A,五四北路,福州市,福建省,中国,26.1028,119.2984,1
1284A,杨桥西路,福州市,福建省,中国,26.0768,119.2648,1
1285A,紫阳,福州市,福建省,中国,26.0746,119.317,1
1286A,溪东(对照点),厦门市,福建省,中国,24.8169,118.1608,1
1287A,洪文,厦门市,福建省,中国,24.4767,118.1514,1
1288A,鼓浪屿,厦门市,福建省,中国,24.4444,118.0661,1
1289A,湖里,厦门市,福建省,中国,24.5118,118.1458,12
1290A,省外办,南昌市,江西省,中国,28.6843,115.8931,1
1291A,省林业公司,南昌市,江西省,中国,28.7003,115.8886,2
1292A,林科所,南昌市,江西省,中国,28.7442,115.8126,1
1293A,京东镇政府(停运200108),南昌市,江西省,中国,28.6969,115.973,1
1294A,建工学校,南昌市,江西省,中国,28.687,115.8518,1
1295A,象湖,南昌市,江西省,中国,28.6424,115.8921,1
1296A,武术学校(对照点),南昌市,江西省,中国,28.7996,115.7423,1
1297A,石化(停运170322),南昌市,江西省,中国,28.6131,115.912,1
1298A,省站,南昌市,江西省,中国,28.6842,115.9314,1
1299A,科干所,济南市,山东省,中国,36.6114,116.9862,1
1300A,农科所,济南市,山东省,中国,36.665,116.9376,1
1301A,开发区,济南市,山东省,中国,36.6734,117.1265,2
1302A,济南化工厂,济南市,山东省,中国,36.6872,116.989,1
1303A,省种子仓库,济南市,山东省,中国,36.6868,117.0624,1
1304A,机床二厂,济南市,山东省,中国,36.6447,116.9489,1
1305A,市监测站,济南市,山东省,中国,36.663,117.0495,1
1306A,长清党校,济南市,山东省,中国,36.5484,116.7675,4
1307A,仰口(对照点),青岛市,山东省,中国,36.2403,120.6659,1
1308A,李沧区子站,青岛市,山东省,中国,36.1851,120.3905,1
1309A,市北区子站,青岛市,山东省,中国,36.0699,120.3471,1
1310A,市南区东部子站,青岛市,山东省,中国,36.0658,120.4134,1
1311A,四方区子站,青岛市,山东省,中国,36.1032,120.3664,1
1312A,市南区西部子站,青岛市,山东省,中国,36.054,120.2994,1
1313A,崂山区子站,青岛市,山东省,中国,36.0858,120.4581,1
1314A,黄岛区子站,青岛市,山东省,中国,35.9608,120.1983,11
1315A,城阳区子站,青岛市,山东省,中国,36.3083,120.3999,7
1316A,烟厂,郑州市,河南省,中国,34.76122,113.69031,1
1317A,郑纺机,郑州市,河南省,中国,34.77134,113.65724,2
1318A,银行学校,郑州市,河南省,中国,34.80246,113.67526,1
1319A,供水公司,郑州市,河南省,中国,34.81334,113.56746,2
1320A,经开区管委,郑州市,河南省,中国,34.7178,113.7329,1
1321A,四十七中,郑州市,河南省,中国,34.77172,113.73961,6
1322A,市监测站,郑州市,河南省,中国,34.74838,113.60532,1
1323A,河医大,郑州市,河南省,中国,34.7525,113.64164,1
1324A,岗李水库(对照点),郑州市,河南省,中国,34.91089,113.51488,10
1325A,东湖梨园,武汉市,湖北省,中国,30.5584,114.3677,2
1326A,汉阳月湖,武汉市,湖北省,中国,30.558,114.2529,1
1327A,汉口花桥,武汉市,湖北省,中国,30.6189,114.282,1
1328A,武昌紫阳,武汉市,湖北省,中国,30.5332,114.3025,2
1329A,青山钢花,武汉市,湖北省,中国,30.6217,114.3646,7
1330A,沌口新区,武汉市,湖北省,中国,30.4825,114.1566,1
1331A,汉口江滩,武汉市,湖北省,中国,30.5944,114.3014,1
1332A,东湖高新,武汉市,湖北省,中国,30.4822,114.3894,1
1333A,吴家山,武汉市,湖北省,中国,30.6319,114.135,8
1334A,沉湖七壕(对照点),武汉市,湖北省,中国,30.2917,113.8454,1
1335A,经开区环保局,长沙市,湖南省,中国,28.2325,113.0833,1
1336A,高开区环保局,长沙市,湖南省,中国,28.2189,112.8872,1
1337A,马坡岭,长沙市,湖南省,中国,28.2053,113.0792,1
1338A,湖南师范大学,长沙市,湖南省,中国,28.19,112.9394,1
1339A,雨花区环保局,长沙市,湖南省,中国,28.1322,113.0178,3
1340A,伍家岭,长沙市,湖南省,中国,28.2597,112.9792,1
1341A,火车新站,长沙市,湖南省,中国,28.1944,113.0014,1
1342A,天心区环保局,长沙市,湖南省,中国,28.1178,112.9844,1
1343A,湖南中医药大学,长沙市,湖南省,中国,28.1308,112.8908,1
1344A,沙坪(对照点),长沙市,湖南省,中国,28.3611,112.9581,1
1345A,广雅中学,广州市,广东省,中国,23.1423,113.2347,1
1346A,市五中,广州市,广东省,中国,23.105,113.2612,1
1347A,天河职幼,广州市,广东省,中国,23.1457,113.3143,12
1348A,广东商学院,广州市,广东省,中国,23.0916,113.3478,1
1349A,市八十六中,广州市,广东省,中国,23.1047,113.4332,1
1350A,番禺中学,广州市,广东省,中国,22.9483,113.3505,1
1351A,花都师范,广州市,广东省,中国,23.3916,113.2146,1
1352A,市监测站,广州市,广东省,中国,23.1331,113.2597,1
1353A,九龙镇镇龙,广州市,广东省,中国,23.312,113.5618,4
1354A,麓湖,广州市,广东省,中国,23.1544,113.2765,1
1355A,帽峰山森林公园(对照点),广州市,广东省,中国,23.3035,113.443,1
1356A,通心岭子站,深圳市,广东省,中国,22.5545,114.1063,2
1357A,洪湖,深圳市,广东省,中国,22.5625,114.117,1
1358A,华侨城,深圳市,广东省,中国,22.5417,113.987,1
1359A,南海子站,深圳市,广东省,中国,22.5171,113.9181,1
1360A,盐田,深圳市,广东省,中国,22.5689,114.2458,3
1361A,龙岗,深圳市,广东省,中国,22.7244,114.2283,2
1362A,西乡,深圳市,广东省,中国,22.5861,113.8953,1
1363A,南澳,深圳市,广东省,中国,22.5422,114.494,1
1364A,葵涌,深圳市,广东省,中国,22.6342,114.41,1
1365A,梅沙,深圳市,广东省,中国,22.5978,114.297,1
1366A,观澜,深圳市,广东省,中国,22.738,114.0678,2
1367A,吉大,珠海市,广东省,中国,22.2618,113.5814,1
1368A,前山,珠海市,广东省,中国,22.2335,113.4881,1
1369A,唐家,珠海市,广东省,中国,22.4251,113.628,1
1370A,斗门,珠海市,广东省,中国,22.2281,113.299,1
1371A,湾梁,佛山市,广东省,中国,23.0067,113.1294,1
1372A,华材职中,佛山市,广东省,中国,23.0478,113.1083,1
1373A,南海气象局,佛山市,广东省,中国,23.0453,113.144,1
1374A,顺德苏岗,佛山市,广东省,中国,22.8094,113.2881,1
1375A,容桂街道办,佛山市,广东省,中国,22.7642,113.2544,1
1376A,高明孔堂,佛山市,广东省,中国,22.8678,112.8383,1
1377A,三水监测站,佛山市,广东省,中国,23.1588,112.8836,1
1378A,三水云东海,佛山市,广东省,中国,23.185,112.867,1
1379A,华柏园,中山市,广东省,中国,22.5211,113.3769,1
1380A,张溪,中山市,广东省,中国,22.5497,113.3881,1
1381A,紫马岭,中山市,广东省,中国,22.5111,113.4075,1
1382A,长江旅游区(对照点),中山市,广东省,中国,22.4853,113.4411,1
1383A,北街,江门市,广东省,中国,22.6058,113.1064,1
1384A,西区,江门市,广东省,中国,22.5835,113.0731,1
1385A,圭峰西,江门市,广东省,中国,22.5311,113.0219,1
1386A,东湖,江门市,广东省,中国,22.5947,113.0828,1
1387A,东城主山,东莞市,广东省,中国,23.0457,113.7875,0
1388A,南城元岭,东莞市,广东省,中国,23.0202,113.7533,1
1389A,莞城梨川,东莞市,广东省,中国,23.0494,113.7547,2
1390A,东城石井,东莞市,广东省,中国,23.0128,113.7944,1
1391A,南城西平,东莞市,广东省,中国,22.9658,113.7383,1
1392A,河南岸金山湖子站,惠州市,广东省,中国,23.0528,114.4183,1
1393A,下埔横江三路子站,惠州市,广东省,中国,23.0822,114.4053,1
1394A,江北云山西路子站,惠州市,广东省,中国,23.1142,114.4103,1
1395A,惠阳区承修路船湖子站,惠州市,广东省,中国,22.7833,114.4645,11
1396A,大亚湾管委会子站,惠州市,广东省,中国,22.7422,114.5317,1
1397A,睦岗子站,肇庆市,广东省,中国,23.0706,112.4267,1
1398A,城中子站,肇庆市,广东省,中国,23.0475,112.4645,1
1399A,坑口子站,肇庆市,广东省,中国,23.1522,112.5544,2
1400A,七星岩子站(对照点),肇庆市,广东省,中国,23.1,112.4753,1
1401A,二十一中,南宁市,广西壮族自治区,中国,22.7881,108.3103,1
1402A,北湖,南宁市,广西壮族自治区,中国,22.8528,108.3141,1
1403A,市监测站,南宁市,广西壮族自治区,中国,22.8225,108.3206,1
1404A,大自然花园,南宁市,广西壮族自治区,中国,22.8037,108.3829,1
1405A,仙葫(对照点),南宁市,广西壮族自治区,中国,22.7904,108.4394,1
1406A,区农职院,南宁市,广西壮族自治区,中国,22.8467,108.2397,1
1408A,沙井镇街道办,南宁市,广西壮族自治区,中国,22.7757,108.2257,2
1407A,英华嘉园,南宁市,广西壮族自治区,中国,22.735,108.3275,1
1409A,东寨港(对照点),海口市,海南省,中国,19.9507,110.576,1
1410A,海南大学,海口市,海南省,中国,20.0574,110.3232,1
1411A,秀英海南医院,海口市,海南省,中国,20.0053,110.283,1
1412A,海南师范大学,海口市,海南省,中国,19.9969,110.338,1
1413A,龙华路环保局宿舍,海口市,海南省,中国,20.0356,110.33,1
1414A,缙云山(对照点),重庆市,重庆市,中国,29.8279,106.3787,1
1415A,高家花园(停运161118),重庆市,重庆市,中国,29.5736,106.46,1
